id,title,venue,year,authors,doi,Label,abstract
10,asp chef creates surveys,iclp,2025,"Łukasz Łuczaj, Andréa Pieroni, Javier Tardío, Manuel PardodeSantayana, Renata Söukand, Ingvar Svanberg, Raivo Kalle",https://www.semanticscholar.org/paper/d5f2cec014c85b45fea94485b6e554d34ef687d1,3,the aim of this review is to present an overview of changes in the contemporary use of wild food plants in europe mainly using the examples of our home countries: poland italy spain estonia and sweden we set the scene referring to the nutrition of 19th century peasants involving many famine and emergency foods later we discuss such issues as children s wild snacks the association between the decline of plant knowledge and the disappearance of plant use the effects of over-exploitation the decrease of the availability of plants due to ecosystem changes land access rights for foragers and intoxication dangers we also describe the 20th and 21st century vogues in wild plant use particularly their shift into the domain of haute-cuisine
11,nexsim: a system for explaining nexus of similarities,iclp,2025,"Deskripsi Bahasa, Neni Nuraeni",https://www.semanticscholar.org/paper/74d9f339477a40f464005794d75a93938d61fef7,4,historical linguistics as a concept has come to be used in a number of ways first in referring to a discipline investigating the development of single languages from an earlier to a later point in time e g two or more stages of ancient egyptian the language of pharaonic times whose written records date back four and a half millennia and which probably became extinct as a spoken language known as coptic several centuries ago a second way in which the term historical linguistics has come to be used is as a short hand for historical-comparative linguistics more specifically the comparative study of genetically related languages hence the alternative term genetic linguistics this is the way in which the term is used in the present study in historical-comparative linguistics or simply comparative linguistics one reconstructs upstream i e one works backwards from today s languages in order to establish genetic relationships and in order to reconstruct earlier stages by studying collateral relationships even though as a discipline historical or dia-chronic linguistics grew out of philology one does not necessarily depend on written documents or texts in order to be able to reconstruct historical changes in languages as should become clear from the following chapters what is needed to begin with are solid analyses of individual languages this chapter sets out to list a number of reasons why languages may manifest similarities in their lexical and grammatical structures after a discussion of chance sound symbolism borrowing and shared inheritance basic principles of the comparative method are explained as a first step these involve setting up sound correspondences between cognate roots in languages assumed to be genetically related and reconstructing historical changes in these forms
12,iterative asp pipelines: enhancements for robots playing mobile games,iclp,2025,"Zhi Zhou, Xu Chen, En Li, Liekang Zeng, Ke Luo, Junshan Zhang",https://www.semanticscholar.org/paper/b07ad7be825bbb717bfb0b8edf221ef232896e3a,4,with the breakthroughs in deep learning the recent years have witnessed a booming of artificial intelligence ai applications and services spanning from personal assistant to recommendation systems to video/audio surveillance more recently with the proliferation of mobile computing and internet of things iot billions of mobile and iot devices are connected to the internet generating zillions bytes of data at the network edge driving by this trend there is an urgent need to push the ai frontiers to the network edge so as to fully unleash the potential of the edge big data to meet this demand edge computing an emerging paradigm that pushes computing tasks and services from the network core to the network edge has been widely recognized as a promising solution the resulted new interdiscipline edge ai or edge intelligence ei is beginning to receive a tremendous amount of interest however research on ei is still in its infancy stage and a dedicated venue for exchanging the recent advances of ei is highly desired by both the computer system and ai communities to this end we conduct a comprehensive survey of the recent research efforts on ei specifically we first review the background and motivation for ai running at the network edge we then provide an overview of the overarching architectures frameworks and emerging key technologies for deep learning model toward training/inference at the network edge finally we discuss future research opportunities on ei we believe that this survey will elicit escalating attentions stimulate fruitful discussions and inspire further research ideas on ei
13,general grid recognition and logic-driven gameplay for intelligent robots,iclp,2025,"Kevin Doherty, Gavin Doherty",https://www.semanticscholar.org/paper/16e7436d3cb4f8995a7bd882475fc183914e2409,2,engaging users is a priority for designers of products and services of every kind the need to understand users experiences has motivated a focus on user engagement across computer science however to date there has been limited review of how human--computer interaction and computer science research interprets and employs the concept questions persist concerning its conception abstraction and measurement this article presents a systematic review of engagement spanning a corpus of 351 articles and 102 definitions we map the current state of engagement research including the diverse interpretation theory and measurement of the concept we describe the ecology of engagement and strategies for the design of engaging experiences discuss the value of the concept and its relationship to other terms and present a set of guidelines and opportunities for future research
14,tackling the air traffic flow and capacity management problem with explainable answer set programming,iclp,2025,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",https://www.semanticscholar.org/paper/e3a41328c54f87564400dc2a3c529f7cb7bdd246,5,as far back as the industrial revolution significant development in technical innovation has succeeded in transforming numerous manual tasks and processes that had been in existence for decades where humans had reached the limits of physical capacity artificial intelligence ai offers this same transformative potential for the augmentation and potential replacement of human tasks and activities within a wide range of industrial intellectual and social applications the pace of change for this new ai technological age is staggering with new breakthroughs in algorithmic machine learning and autonomous decision-making engendering new opportunities for continued innovation the impact of ai could be significant with industries ranging from: finance healthcare manufacturing retail supply chain logistics and utilities all potentially disrupted by the onset of ai technologies the study brings together the collective insight from a number of leading expert contributors to highlight the significant opportunities realistic assessment of impact challenges and potential research agenda posed by the rapid emergence of ai within a number of domains: business and management government public sector and science and technology this research offers significant and timely insight to ai technology and its impact on the future of industry and society in general whilst recognising the societal and industrial influence on pace and direction of ai development
15,knowledge graphs &amp reasoning in concert: automating regulation in corporate economics,iclp,2025,Piers Barrios,https://www.semanticscholar.org/paper/0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,2,since its emergence two decades ago product lifecycle management plm has shaped product development and production engineering while helping achieve a tremendous quickening in processes and operations on the other hand internet of things iot is currently in extraordinarily strong emergence and overall interest is increasingly growing surprisingly interactions between iot platforms and plm software are very scarce to this day the industry has enabled a few connections when and where return on investment was high and certain however nowadays the struggle for systems integration remains the two systems integration is key to make the most of the data collected by various sensors about a product s manufacturing usage maintenance and failures namely its lifecycle this data will then be exploited to improve either conception manufacturing servicing or disposal of either the current product the product range or a future product therefore creating a virtuous feedback loop enabling more sustainable products via product servitisation or pay-per-use this thesis problem statement is how to link product lifecycle management information especially engineering information and data from smart things whatever they are in a discrete manufacturing industry context first it presents the current state-of-the-art of existing methodologies plm iot and interoperability and phrases the research question: what framework could be used to develop an industry-ready solution to ensure a digital thread between plm software and iot platform this thesis then proposes a methodological framework for a digital thread between plm and iot based on four key concepts and three novel approaches the four key concepts are baselines change management product instantiation and iot information structuration the three novel approaches are function-enabled plm based on reacting interfacing storing and data processing functions problem report as a medium and enrichment of as to be baselines thirdly it is validated upon use cases based on the rebo smart bottle finally discussion covers the possible extension of the framework over other industries and trades
16,flexible lifelong explainable and robust solutions for multi-agent path finding problems,iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,4,the multi-agent path finding mapf problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions subject to constraints on the lengths of paths the real-world applications of mapf require flexible lifelong robust and explainable solutions in this study these challenges are being addressed
17,neurosymbolic ai in digital forensics: commonsense and qualitative reasoning,iclp,2025,"Son Tran, Edjard Mota, Artur dAvila Garcez",https://www.semanticscholar.org/paper/2423ca4c3595deb2c6a5014a5e8949e20db06714,5,step-by-step thinking is essential in all domains of chemical sciences and engineering while machine learning tools are broadly used algorithms that automate reasoning are far less common we elaborate on seven categories of human reasoning activities and connect each to applications in chemical science and engineering: inductive deductive abductive probabilistic causal analogical and informal reasoning for each we describe approaches and tools for implementing in computational settings we find the traditional categories of logic induction deduction abduction to be useful for interpreting a wide range of research activities in the computational sciences: curve fitting and supervised learning are induction predicting from a curve or a supervised model is deduction first-principles simulations are deduction molecular structure elucidation is abduction and inverse design is isomorphic to abduction experimental design incorporates themes of all three but also stands apart because it modifies the data we also survey the reasoning capabilities of large language models and illustrate some challenges and opportunities in building systems that learn to reason central concepts that emerge include the dual nature of reasoning as propositional and step-by-step the what and the how the importance of appreciating syntax and semantics and the centrality of abstraction in formal and informal contexts throughout we highlight untapped opportunities including bug-free scientific computing software predictive modeling approaches to generalize outside training data inverse design and automated hypothesis generation and evaluation
18,a tool set for converting controlled natural languages into ai formalisms,iclp,2025,"Riccardo Guidotti, Anna Monreale, Salvatore Ruggieri, Franco Turini, Fosca Giannotti, Dino Pedreschi",https://www.semanticscholar.org/paper/d56c21dd9eec50685a99172f73e1deb039278ba1,5,in recent years many accurate decision support systems have been constructed as black boxes that is as systems that hide their internal logic to the user this lack of explanation constitutes both a practical and an ethical issue the literature reports many approaches aimed at overcoming this crucial weakness sometimes at the cost of sacrificing accuracy for interpretability the applications in which black box decision systems can be used are various and each approach is typically developed to provide a solution for a specific problem and as a consequence it explicitly or implicitly delineates its own definition of interpretability and explanation the aim of this article is to provide a classification of the main problems addressed in the literature with respect to the notion of explanation and the type of black box system given a problem definition a black box type and a desired explanation this survey should help the researcher to find the proposals more useful for his own work the proposed classification of approaches to open black box models should also be useful for putting the many research open questions in perspective
19,representing and evaluating sbvr specification via asp,iclp,2025,"Murali Mohanan, Imran Sarwar Bajwa",https://www.semanticscholar.org/paper/534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,4,in this paper we present an informal introduction to logical english le and illustrate its use to standardise the legal wording of the automatic early termination aet clauses of international swaps and derivatives association isda agreements le can be viewed both as an alternative to conventional legal english for expressing legal documents and as an alternative to conventional computer languages for automating legal documents le is a controlled natural language cnl which is designed both to be computer-executable and to be readable by english speakers without special training the basic form of le is syntactic sugar for logic programs in which all sentences have the same standard form either as rules of the form conclusion if conditions or as unconditional sentences of the form conclusion however le extends normal logic programming by introducing features that are present in other computer languages and other logics these features include typed variables signalled by common nouns and existentially quantified variables in the conclusions of sentences signalled by indefinite articles although le translates naturally into a logic programming language such as prolog or asp it can also serve as a neutral standard which can be compiled into other lower-level computer languages
20,on the translation of asp rules to controlled natural language sentences,iclp,2025,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",https://www.semanticscholar.org/paper/ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,4,in this paper we present an informal introduction to logical english le and illustrate its use to standardise the legal wording of the automatic early termination aet clauses of international swaps and derivatives association isda agreements le can be viewed both as an alternative to conventional legal english for expressing legal documents and as an alternative to conventional computer languages for automating legal documents le is a controlled natural language cnl which is designed both to be computer-executable and to be readable by english speakers without special training the basic form of le is syntactic sugar for logic programs in which all sentences have the same standard form either as rules of the form conclusion if conditions or as unconditional sentences of the form conclusion however le extends normal logic programming by introducing features that are present in other computer languages and other logics these features include typed variables signalled by common nouns and existentially quantified variables in the conclusions of sentences signalled by indefinite articles although le translates naturally into a logic programming language such as prolog or asp it can also serve as a neutral standard which can be compiled into other lower-level computer languages
21,resource allocation with cooperative agents,iclp,2025,"Amandeep Kaur, Krishan Kumar",https://www.semanticscholar.org/paper/42e7585a4694f6ce54ed757c72c9c12b7a8101f5,2,the most prominent challenge to the wireless community is to meet the demand for radio resources cognitive radio cr is envisioned as a potential solution that utilizes its cognition ability intended to enhance the proper utilization of available radio resources and improves energy efficiency however due to the co-existence of primary base stations pu-bss and cognitive base stations cr-bss in cr networks the problem of aggregated interference occurs which poses a critical challenge for resource allocation in cr networks moreover in practical scenarios it is difficult to form the correct network model due to complex network dynamics beforehand therefore this work presents multi-agent model-free reinforcement learning schemes namely q-learning q-l and state-action-reward- next state- next action sarsa for resource allocation which mitigates interference and eliminate the need of network model the proposed schemes are implemented in a decentralized cooperative manner with crs act as multi-agent forms a stochastic dynamic team to obtain optimal energy-efficient resource allocation strategy numerical results reveal that: 1 proposed cooperative scheme 1 cooperative q-l scheme expedites the convergence 2 proposed cooperative scheme 2 cooperative sarsa scheme achieves significant improvement in network capacity both the proposed cooperative schemes demonstrate its effectiveness by providing significant improvement in energy efficiency and maintain users qos
22,enhancing compilation-based asp solving,iclp,2025,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/0ebf0121a6ce46e479d81d9a509af5f152dc15ed,5,charmm chemistry at harvard molecular mechanics is a highly versatile and widely used molecular simulation program it has been developed over the last three decades with a primary focus on molecules of biological interest including proteins peptides lipids nucleic acids carbohydrates and small molecule ligands as they occur in solution crystals and membrane environments for the study of such systems the program provides a large suite of computational tools that include numerous conformational and path sampling methods free energy estimators molecular minimization dynamics and analysis techniques and model-building capabilities the charmm program is applicable to problems involving a much broader class of many-particle systems calculations with charmm can be performed using a number of different energy functions and models from mixed quantum mechanical-molecular mechanical force fields to all-atom classical potential energy functions with explicit solvent and various boundary conditions to implicit solvent and membrane models the program has been ported to numerous platforms in both serial and parallel architectures this article provides an overview of the program as it exists today with an emphasis on developments since the publication of the original charmm article in 1983
23,enhancing compilation-based asp solving with postponed atom discovery,iclp,2025,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/1f548ee1a3d356f3eafc547f99a0c6ea12067edf,5,context the chemical composition of the sun is a fundamental yardstick in astronomy relative to which essentially all cosmic objects are referenced as such having accurate knowledge of the solar elemental abundances is crucial for an extremely broad range of topics aims we reassess the solar abundances of all 83 long-lived elements using highly realistic solar modelling and state-of-the-art spectroscopic analysis techniques coupled with the best available atomic data and observations methods the basis for our solar spectroscopic analysis is a three-dimensional 3d radiative-hydrodynamical model of the solar surface convection and atmosphere which reproduces the full arsenal of key observational diagnostics new complete and comprehensive 3d spectral line formation calculations taking into account of departures from local thermodynamic equilibrium non-lte are presented for na mg k ca and fe using comprehensive model atoms with reliable radiative and collisional data our newly derived abundances for c n and o are based on a 3d non-lte analysis of permitted and forbidden atomic lines as well as 3d lte calculations for a total of 879 molecular transitions of ch c 2 co nh cn and oh previous 3d-based calculations for another 50 elements are re-evaluated based on updated atomic data a stringent selection of lines improved consideration of blends and new non-lte calculations available in the literature for elements where spectroscopic determinations of the quiet sun are not possible the recommended solar abundances are revisited based on complementary methods including helioseismology he solar wind data from the genesis sample return mission noble gases sunspot observations four elements and measurements of the most primitive meteorites 15 elements results our new improved analysis confirms the relatively low solar abundances of c n and o obtained in our previous 3d-based studies: log c 8 46 0 04 log n 7 83 0 07 and log o 8 69 0 04 excellent agreement between all available atomic and molecular indicators is achieved for c and o but for n the atomic lines imply a lower abundance than for the molecular transitions for unknown reasons the revised solar abundances for the other elements also typically agree well with our previously recommended values with only li f ne mg cl kr rb rh ba w ir and pb differing by more than 0 05 dex the here-advocated present-day photospheric metal mass fraction is only slightly higher than our previous value mainly due to the revised ne abundance from genesis solar wind measurements: x surface 0 7438 0 0054 y surface 0 2423 0 0054 z surface 0 0139 0 0006 and z surface / x surface 0 0187 0 0009 overall the solar abundances agree well with those of ci chondritic meteorites but we identify a correlation with condensation temperature such that moderately volatile elements are enhanced by 0 04 dex in the ci chondrites and refractory elements possibly depleted by 0 02 dex conflicting with conventional wisdom of the past half-century instead the solar chemical composition more closely resembles that of the fine-grained matrix of cm chondrites with the expected exception of the highly volatile elements conclusions updated present-day solar photospheric and proto-solar abundances are presented for 83 elements including for all long-lived isotopes the so-called solar modelling problem a persistent discrepancy between helioseismology and solar interior models constructed with a low solar metallicity similar to that advocated here remains intact with our revised solar abundances suggesting shortcomings with the computed opacities and/or treatment of mixing below the convection zone in existing standard solar models the uncovered trend between the solar and ci chondritic abundances with condensation temperature is not yet understood but is likely imprinted by planet formation especially since a similar trend of opposite sign is observed between the sun and solar twins
24,toward executing datalog on big data platforms - extended abstract,iclp,2025,Bernard LANG,https://www.semanticscholar.org/paper/d317147d8b63b0cbb05e672d788f730f8b173017,3,scripts are widely used to design and run scientific experiments scripting languages are easy to learn and use and they allow complex tasks to be specified and executed in fewer steps than with traditional programming languages however they also have important limitations for reproducibility and data management as experiments are iteratively refined it is challenging to reason about each experiment run or trial to keep track of the association between trials and experiment instances as well as the differences across trials and to connect results to specific input data and parameters approaches have been proposed that address these limitations by collecting managing and analyzing the provenance of scripts in this article we survey the state of the art in provenance for scripts we have identified the approaches by following an exhaustive protocol of forward and backward literature snowballing based on a detailed study we propose a taxonomy and classify the approaches using this taxonomy
25,peg 2 0: future-gazing through a socio-linguistic and historical lens,iclp,2025,"Morgan Windle, Stephan Dudeck, Tanja Schreiber, Hans Whitefield, Henny Piezonka",https://www.semanticscholar.org/paper/5ff8a5ac6bf5a1dff86ec2de72e57b60790baaf9,2,across northern eurasia reindeer have long shaped the socio-cultural fabric of hunter-fisher societies today descendant communities continue multispecies lifeways forming symbiotic relationships within boreal ecosystems reindeer regarded as animate persons exist as both herded and wild partners while the dynamics of these communities have been widely studied the smallest actors in this system namely insects have remained largely overlooked particularly in discussions of reindeer domestication and archaeology expanding ontological perspectives and engaging with new narrative approaches open avenues for recognizing other animate beings as co-constructors of social economic and cultural systems traditional hunter-herding practices in the west siberian and northwest mongolian taigas offer insights into early human-reindeer cooperation domestication and their archaeological traces this study employs a collaborative multidisciplinary approach to examine how synanthropic insects such as mosquitoes midges and horseflies shape hunter-herder lifeways despite their absence from the archaeological record fieldwork with sel kup khanty and tsaatan communities highlights the critical role of insects in herding and mobility patterns influencing niche construction strategies these case studies reveal new multispecies parameters that will enhance interpretations of the archaeological record
26,learning asp domain-specific heuristics using transformers,iclp,2025,Marcello Balduccini,https://www.semanticscholar.org/paper/9240091bc0d23f9411e52ee6fbbe8138d750427e,5,bak probing til beskrivelser av transformerarkitekturen og debatten rundt tolkbarhet av oppmerksomhet i hvert introduksjonskapittel prver vi derfor kontekstualisere vrt eget arbeid
27,search-guided generation of properties for program analyzers,iclp,2025,Yixuan Liang,https://www.semanticscholar.org/paper/fb2ffaeff737324b34600fe9b270d717528e86c5,4,clustering is the unsupervised classification of patterns observations data items or feature vectors into groups clusters the clustering problem has been addressed in many contexts and by researchers in many disciplines this reflects its broad appeal and usefulness as one of the steps in exploratory data analysis however clustering is a difficult problem combinatorially and differences in assumptions and contexts in different communities has made the transfer of useful generic concepts and methodologies slow to occur this paper presents an overview of pattern clustering methods from a statistical pattern recognition perspective with a goal of providing useful advice and references to fundamental concepts accessible to the broad community of clustering practitioners we present a taxonomy of clustering techniques and identify cross-cutting themes and recent advances we also describe some important applications of clustering algorithms such as image segmentation object recognition and information retrieval
28,knowledge-based stable roommates problems,iclp,2025,Müge Fidan,10.1609/aaai.v40i48.42148,4,the phd studies of the author focus on a human-centered and computationally-challenging interdisciplinary problem of the stable roommates problem and its variations motivated by real-world applications and by the fact that the stable roommates problem does not always admit a stable solution the goal is to develop novel computational methods to solve these problems that are not only computationally efficient but also yield solutions that are fair personalized and applicable in real-world to benefit humans
29,llmasp: a framework for mitigating hallucinations and supporting symbolic reasoning in large language models,iclp,2025,Xing Xu,https://www.semanticscholar.org/paper/615536c864f8fc6c74d7a4553c900cd9f03ba1fc,4,large language models llms exhibit logically inconsistent hallucinations that appear coherent yet violate reasoning principles with recent research suggesting an inverse relationship between causal reasoning capabilities and such hallucinations however existing reasoning approaches in llms such as chain-of-thought cot and its graph-based variants operate at the linguistic token level rather than modeling the underlying causal relationships between variables lacking the ability to represent conditional independencies or satisfy causal identification assumptions to bridge this gap we introduce causal-dag construction and reasoning cdcr-sft a supervised fine-tuning framework that trains llms to explicitly construct variable-level directed acyclic graph dag and then perform reasoning over it moreover we present a dataset comprising 25 368 samples causaldr where each sample includes an input question explicit causal dag graph-based reasoning trace and validated answer experiments on four llms across eight tasks show that cdcr-sft improves the causal reasoning capability with the state-of-the-art 95 33 accuracy on cladder surpassing human performance of 94 8 for the first time and reduces the hallucination on halueval with 10 improvements it demonstrates that explicit causal structure modeling in llms can effectively mitigate logical inconsistencies in llm outputs
