id,doi,abstract,crawled_authors,source,authors
10,10.5586/asbp.2012.031,"The aim of this review is to present an overview of changes in the contemporary use of wild food plants in Europe, mainly using the examples of our home countries: Poland, Italy, Spain, Estonia and Sweden. We set the scene referring to the nutrition of 19th century peasants, involving many famine and emergency foods. Later we discuss such issues as children's wild snacks, the association between the decline of plant knowledge and the disappearance of plant use, the effects of over-exploitation, the decrease of the availability of plants due to ecosystem changes, land access rights for foragers and intoxication dangers. We also describe the 20th and 21st century vogues in wild plant use, particularly their shift into the domain of haute-cuisine.","Łukasz Łuczaj, Andréa Pieroni, Javier Tardío, Manuel Pardo‐de‐Santayana, Renata Söukand, Ingvar Svanberg, Raivo Kalle",SemanticScholarPaperIDCrawler,
11,10.1075/z.161.02ch1,"Historical linguistics as a concept has come to be used in a number of ways. First, in referring to a discipline investigating the development of single languages from an earlier to a later point in time, e.g. two or more stages of Ancient Egyptian, the language of Pharaonic times, whose written records date back four and a half millennia, and which probably became extinct as a spoken language (known as Coptic) several centuries ago. A second way in which the term historical linguistics has come to be used is as a short hand for historical-comparative linguistics – more specifically the comparative study of genetically related languages, hence the alternative term genetic linguistics. This is the way in which the term is used in the present study. In historical-comparative linguistics, or simply comparative linguistics, one reconstructs “upstream”, i.e. one works backwards from today’s languages in order to establish genetic relationships and in order to reconstruct earlier stages by studying collateral relationships. Even though as a discipline historical (or dia-chronic) linguistics grew out of philology, one does not necessarily depend on written documents or texts in order to be able to reconstruct historical changes in languages, as should become clear from the following chapters. What is needed to begin with are solid analyses of individual languages. This chapter sets out to list a number of reasons why languages may manifest similarities in their lexical and grammatical structures. After a discussion of chance, sound symbolism, borrowing and shared inheritance, basic principles of the comparative method are explained. As a first step, these involve setting up sound correspondences between cognate roots in languages assumed to be genetically related, and reconstructing historical changes in these forms.","Deskripsi Bahasa, Neni Nuraeni",SemanticScholarPaperIDCrawler,
12,10.1109/jproc.2019.2918951,"With the breakthroughs in deep learning, the recent years have witnessed a booming of artificial intelligence (AI) applications and services, spanning from personal assistant to recommendation systems to video/audio surveillance. More recently, with the proliferation of mobile computing and Internet of Things (IoT), billions of mobile and IoT devices are connected to the Internet, generating zillions bytes of data at the network edge. Driving by this trend, there is an urgent need to push the AI frontiers to the network edge so as to fully unleash the potential of the edge big data. To meet this demand, edge computing, an emerging paradigm that pushes computing tasks and services from the network core to the network edge, has been widely recognized as a promising solution. The resulted new interdiscipline, edge AI or edge intelligence (EI), is beginning to receive a tremendous amount of interest. However, research on EI is still in its infancy stage, and a dedicated venue for exchanging the recent advances of EI is highly desired by both the computer system and AI communities. To this end, we conduct a comprehensive survey of the recent research efforts on EI. Specifically, we first review the background and motivation for AI running at the network edge. We then provide an overview of the overarching architectures, frameworks, and emerging key technologies for deep learning model toward training/inference at the network edge. Finally, we discuss future research opportunities on EI. We believe that this survey will elicit escalating attentions, stimulate fruitful discussions, and inspire further research ideas on EI.","Zhi Zhou, Xu Chen, En Li, Liekang Zeng, Ke Luo, Junshan Zhang",SemanticScholarPaperIDCrawler,
13,10.1145/3234149,"Engaging users is a priority for designers of products and services of every kind. The need to understand users’ experiences has motivated a focus on user engagement across computer science. However, to date, there has been limited review of how Human--Computer Interaction and computer science research interprets and employs the concept. Questions persist concerning its conception, abstraction, and measurement. This article presents a systematic review of engagement spanning a corpus of 351 articles and 102 definitions. We map the current state of engagement research, including the diverse interpretation, theory, and measurement of the concept. We describe the ecology of engagement and strategies for the design of engaging experiences, discuss the value of the concept and its relationship to other terms, and present a set of guidelines and opportunities for future research.","Kevin Doherty, Gavin Doherty",SemanticScholarPaperIDCrawler,
14,10.1016/j.ijinfomgt.2019.08.002,"As far back as the industrial revolution, significant development in technical innovation has succeeded in transforming numerous manual tasks and processes that had been in existence for decades where humans had reached the limits of physical capacity. Artificial Intelligence (AI) offers this same transformative potential for the augmentation and potential replacement of human tasks and activities within a wide range of industrial, intellectual and social applications. The pace of change for this new AI technological age is staggering, with new breakthroughs in algorithmic machine learning and autonomous decision-making, engendering new opportunities for continued innovation. The impact of AI could be significant, with industries ranging from: finance, healthcare, manufacturing, retail, supply chain, logistics and utilities, all potentially disrupted by the onset of AI technologies. The study brings together the collective insight from a number of leading expert contributors to highlight the significant opportunities, realistic assessment of impact, challenges and potential research agenda posed by the rapid emergence of AI within a number of domains: business and management, government, public sector, and science and technology. This research offers significant and timely insight to AI technology and its impact on the future of industry and society in general, whilst recognising the societal and industrial influence on pace and direction of AI development.","Yogesh K. Dwivedi, Laurie Hughes, Elvira Ismagilova, Gert Aarts, Crispin Coombs, Tom Crick, Yanqing Duan, Rohita Dwivedi, John S. Edwards, Aled Eirug, Vassilis Galanos, P. Vigneswara Ilavarasan, Marijn Janssen, Paul Jones, Arpan Kumar Kar, Hatice Kizgin, Bianca Kronemann, Banita Lal, Biagio Lucini, Rony Medaglia, Kenneth Le Meunier‐FitzHugh, Leslie Caroline Le Meunier-FitzHugh, Santosh K. Misra, Emmanuel Mogaji, Sujeet Kumar Sharma, Jang Bahadur Singh, Vishnupriya Raghavan, Ramakrishnan Raman, Nripendra P. Rana, Spyridon Samothrakis, Jak Spencer, Kuttimani Tamilmani, Annie Tubadji, Paul Walton, Michael D. Williams",SemanticScholarPaperIDCrawler,
15,https://www.semanticscholar.org/paper/0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,"Since its emergence two decades ago, Product Lifecycle Management (PLM) has shaped product development and production engineering while helping achieve a tremendous quickening in processes and operations. On the other hand, Internet of Things (IoT) is currently in extraordinarily strong emergence and overall interest is increasingly growing. Surprisingly, interactions between IoT platforms and PLM software are very scarce to this day. The industry has enabled a few connections when and where return on investment was high and certain. However, nowadays, the struggle for systems integration remains. The two systems’ integration is key to make the most of the data collected by various sensors about a product’s manufacturing, usage, maintenance, and failures, namely its lifecycle. This data will then be exploited to improve either conception, manufacturing, servicing, or disposal of either the current product, the product range or a future product therefore creating a virtuous feedback loop enabling more sustainable products via product servitisation or pay-per-use. This thesis’ problem statement is “How to link product lifecycle management information, especially engineering information, and data from smart things, whatever they are, in a discrete manufacturing industry context?” First, it presents the current state-of-the-art of existing methodologies, PLM, IoT and Interoperability and phrases the research question: “What framework could be used to develop an industry-ready solution to ensure a digital thread between PLM software and IoT Platform?” This thesis then proposes a methodological framework for a digital thread between PLM and IoT based on four key concepts and three novel approaches. The four key concepts are Baselines, Change Management, Product Instantiation and IoT information structuration. The three novel approaches are Function-enabled PLM (based on reacting, interfacing, storing and data processing functions), Problem report as a medium, and Enrichment of ‘as to be’ baselines. Thirdly, it is validated upon use cases based on the REBO smart bottle. Finally, discussion covers the possible extension of the framework over other industries and trades.",Piers Barrios,SemanticScholarPaperIDCrawler,
16,10.1609/aaai.v40i48.42143,"The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.",Aysu Bogatarkan,SemanticScholarCrawler,
17,10.26434/chemrxiv-2025-q9bb1,"Step-by-step thinking is essential in all domains of chemical sciences and engineering. While machine learning tools are broadly used, algorithms that automate reasoning are far less common. We elaborate on seven categories of human reasoning activities and connect each to applications in chemical science and engineering: inductive, deductive, abductive, probabilistic, causal, analogical, and informal reasoning. For each, we describe approaches and tools for implementing in computational settings. We find the traditional categories of logic (induction, deduction, abduction) to be useful for interpreting a wide range of research activities in the computational sciences: curve fitting and supervised learning are induction, predicting from a curve or a supervised model is deduction, first-principles simulations are deduction, molecular structure elucidation is abduction, and inverse design is isomorphic to abduction. Experimental design incorporates themes of all three, but also stands apart because it modifies the data. We also survey the ``reasoning'' capabilities of large language models, and illustrate some challenges and opportunities in building systems that learn to reason. Central concepts that emerge include the dual nature of reasoning as propositional and step-by-step (the ""what"" and the ""how""), the importance of appreciating syntax and semantics, and the centrality of abstraction in formal and informal contexts. Throughout, we highlight untapped opportunities, including bug-free scientific computing software, predictive modeling approaches to generalize outside training data, inverse design, and automated hypothesis generation and evaluation.",Tyler R. Josephson,SemanticScholarPaperIDCrawler,
18,10.1145/3236009,"In recent years, many accurate decision support systems have been constructed as black boxes, that is as systems that hide their internal logic to the user. This lack of explanation constitutes both a practical and an ethical issue. The literature reports many approaches aimed at overcoming this crucial weakness, sometimes at the cost of sacrificing accuracy for interpretability. The applications in which black box decision systems can be used are various, and each approach is typically developed to provide a solution for a specific problem and, as a consequence, it explicitly or implicitly delineates its own definition of interpretability and explanation. The aim of this article is to provide a classification of the main problems addressed in the literature with respect to the notion of explanation and the type of black box system. Given a problem definition, a black box type, and a desired explanation, this survey should help the researcher to find the proposals more useful for his own work. The proposed classification of approaches to open black box models should also be useful for putting the many research open questions in perspective.","Riccardo Guidotti, Anna Monreale, Salvatore Ruggieri, Franco Turini, Fosca Giannotti, Dino Pedreschi",SemanticScholarPaperIDCrawler,
19,10.1007/s10506-021-09295-3," In this paper, we present an informal introduction to Logical English (LE) and illustrate its use to standardise the legal wording of the Automatic Early Termination (AET) clauses of International Swaps and Derivatives Association (ISDA) Agreements. LE can be viewed both as an alternative to conventional legal English for expressing legal documents, and as an alternative to conventional computer languages for automating legal documents. LE is a controlled natural language (CNL), which is designed both to be computer-executable and to be readable by English speakers without special training. The basic form of LE is syntactic sugar for logic programs, in which all sentences have the same standard form, either as rules of the form conclusion if conditions or as unconditional sentences of the form conclusion. However, LE extends normal logic programming by introducing features that are present in other computer languages and other logics. These features include typed variables signalled by common nouns, and existentially quantified variables in the conclusions of sentences signalled by indefinite articles. Although LE translates naturally into a logic programming language such as Prolog or ASP, it can also serve as a neutral standard, which can be compiled into other lower-level computer languages.","Robert Kowalski, Akber Datoo",SemanticScholarPaperIDCrawler,
20,10.1007/s10506-021-09295-3," In this paper, we present an informal introduction to Logical English (LE) and illustrate its use to standardise the legal wording of the Automatic Early Termination (AET) clauses of International Swaps and Derivatives Association (ISDA) Agreements. LE can be viewed both as an alternative to conventional legal English for expressing legal documents, and as an alternative to conventional computer languages for automating legal documents. LE is a controlled natural language (CNL), which is designed both to be computer-executable and to be readable by English speakers without special training. The basic form of LE is syntactic sugar for logic programs, in which all sentences have the same standard form, either as rules of the form conclusion if conditions or as unconditional sentences of the form conclusion. However, LE extends normal logic programming by introducing features that are present in other computer languages and other logics. These features include typed variables signalled by common nouns, and existentially quantified variables in the conclusions of sentences signalled by indefinite articles. Although LE translates naturally into a logic programming language such as Prolog or ASP, it can also serve as a neutral standard, which can be compiled into other lower-level computer languages.","Robert Kowalski, Akber Datoo",SemanticScholarPaperIDCrawler,
21,10.1109/tnsm.2020.3000274,"The most prominent challenge to the wireless community is to meet the demand for radio resources. Cognitive Radio (CR) is envisioned as a potential solution that utilizes its cognition ability intended to enhance the proper utilization of available radio resources and improves energy efficiency. However, due to the co-existence of Primary Base Stations (PU-BSs) and Cognitive Base Stations (CR-BSs) in CR networks, the problem of aggregated interference occurs which poses a critical challenge for resource allocation in CR networks. Moreover, in practical scenarios, it is difficult to form the correct network model due to complex network dynamics beforehand. Therefore, this work presents Multi-Agent Model-Free Reinforcement Learning schemes namely Q-Learning (Q-L) and State-Action-Reward- (next) State- (next) Action (SARSA) for resource allocation which mitigates interference and eliminate the need of network model. The proposed schemes are implemented in a decentralized cooperative manner with CRs act as multi-agent, forms a stochastic dynamic team to obtain optimal energy-efficient resource allocation strategy. Numerical results reveal that: 1) proposed cooperative scheme 1 (Cooperative Q-L scheme) expedites the convergence; 2) proposed cooperative scheme 2 (Cooperative SARSA scheme) achieves significant improvement in network capacity. Both the proposed cooperative schemes demonstrate its effectiveness by providing significant improvement in energy efficiency and maintain users' QoS.","Amandeep Kaur, Krishan Kumar",SemanticScholarPaperIDCrawler,
22,10.1002/jcc.21287,"CHARMM (Chemistry at HARvard Molecular Mechanics) is a highly versatile and widely used molecular simulation program. It has been developed over the last three decades with a primary focus on molecules of biological interest, including proteins, peptides, lipids, nucleic acids, carbohydrates, and small molecule ligands, as they occur in solution, crystals, and membrane environments. For the study of such systems, the program provides a large suite of computational tools that include numerous conformational and path sampling methods, free energy estimators, molecular minimization, dynamics, and analysis techniques, and model-building capabilities. The CHARMM program is applicable to problems involving a much broader class of many-particle systems. Calculations with CHARMM can be performed using a number of different energy functions and models, from mixed quantum mechanical-molecular mechanical force fields, to all-atom classical potential energy functions with explicit solvent and various boundary conditions, to implicit solvent and membrane models. The program has been ported to numerous platforms in both serial and parallel architectures. This article provides an overview of the program as it exists today with an emphasis on developments since the publication of the original CHARMM article in 1983.","Bernard R. Brooks, Charles L. Brooks, Alexander D. MacKerell, Lennart Nilsson, Robert J. Petrella, Benoı̂t Roux, Youngdo Won, Georgios Archontis, Christian Bartels, Stefan Boresch, Amedeo Caflisch, Leo S. D. Caves, Qiang Cui, Aaron R. Dinner, Michael Feig, Stefan Fischer, Jun Gao, Milan Hodošček, Wonpil Im, Krzysztof Kuczera, Themis Lazaridis, Jianpeng Ma, Victor Ovchinnikov, Emanuele Paci, Richard W. Pastor, Carol Beth Post, Jingzhi Pu, Michael Schaefer, Bruce Tidor, Richard M. Venable, H. Lee Woodcock, Xiaojing Wu, Wei Yang, Darrin M. York, Martin Karplus",SemanticScholarPaperIDCrawler,
23,10.1051/0004-6361/202140445,"Context. The chemical composition of the Sun is a fundamental yardstick in astronomy, relative to which essentially all cosmic objects are referenced. As such, having accurate knowledge of the solar elemental abundances is crucial for an extremely broad range of topics. Aims. We reassess the solar abundances of all 83 long-lived elements, using highly realistic solar modelling and state-of-the-art spectroscopic analysis techniques coupled with the best available atomic data and observations. Methods. The basis for our solar spectroscopic analysis is a three-dimensional (3D) radiative-hydrodynamical model of the solar surface convection and atmosphere, which reproduces the full arsenal of key observational diagnostics. New complete and comprehensive 3D spectral line formation calculations taking into account of departures from local thermodynamic equilibrium (non-LTE) are presented for Na, Mg, K, Ca, and Fe using comprehensive model atoms with reliable radiative and collisional data. Our newly derived abundances for C, N, and O are based on a 3D non-LTE analysis of permitted and forbidden atomic lines as well as 3D LTE calculations for a total of 879 molecular transitions of CH, C 2 , CO, NH, CN, and OH. Previous 3D-based calculations for another 50 elements are re-evaluated based on updated atomic data, a stringent selection of lines, improved consideration of blends, and new non-LTE calculations available in the literature. For elements where spectroscopic determinations of the quiet Sun are not possible, the recommended solar abundances are revisited based on complementary methods, including helioseismology (He), solar wind data from the Genesis sample return mission (noble gases), sunspot observations (four elements), and measurements of the most primitive meteorites (15 elements). Results. Our new improved analysis confirms the relatively low solar abundances of C, N, and O obtained in our previous 3D-based studies: log ϵ C = 8.46 ± 0.04, log ϵ N = 7.83 ± 0.07, and log ϵ O = 8.69 ± 0.04. Excellent agreement between all available atomic and molecular indicators is achieved for C and O, but for N the atomic lines imply a lower abundance than for the molecular transitions for unknown reasons. The revised solar abundances for the other elements also typically agree well with our previously recommended values, with only Li, F, Ne, Mg, Cl, Kr, Rb, Rh, Ba, W, Ir, and Pb differing by more than 0.05 dex. The here-advocated present-day photospheric metal mass fraction is only slightly higher than our previous value, mainly due to the revised Ne abundance from Genesis solar wind measurements: X surface = 0.7438 ± 0.0054, Y surface = 0.2423 ± 0.0054, Z surface = 0.0139 ± 0.0006, and Z surface / X surface = 0.0187 ± 0.0009. Overall, the solar abundances agree well with those of CI chondritic meteorites, but we identify a correlation with condensation temperature such that moderately volatile elements are enhanced by ≈0.04 dex in the CI chondrites and refractory elements possibly depleted by ≈0.02 dex, conflicting with conventional wisdom of the past half-century. Instead, the solar chemical composition more closely resembles that of the fine-grained matrix of CM chondrites with the expected exception of the highly volatile elements. Conclusions. Updated present-day solar photospheric and proto-solar abundances are presented for 83 elements, including for all long-lived isotopes. The so-called solar modelling problem – a persistent discrepancy between helioseismology and solar interior models constructed with a low solar metallicity similar to that advocated here – remains intact with our revised solar abundances, suggesting shortcomings with the computed opacities and/or treatment of mixing below the convection zone in existing standard solar models. The uncovered trend between the solar and CI chondritic abundances with condensation temperature is not yet understood but is likely imprinted by planet formation, especially since a similar trend of opposite sign is observed between the Sun and solar twins.","M. Asplund, A. M. Amarsi, N. Grevesse",SemanticScholarPaperIDCrawler,
24,10.1145/3311955,"Scripts are widely used to design and run scientific experiments. Scripting languages are easy to learn and use, and they allow complex tasks to be specified and executed in fewer steps than with traditional programming languages. However, they also have important limitations for reproducibility and data management. As experiments are iteratively refined, it is challenging to reason about each experiment run (or trial), to keep track of the association between trials and experiment instances as well as the differences across trials, and to connect results to specific input data and parameters. Approaches have been proposed that address these limitations by collecting, managing, and analyzing the provenance of scripts. In this article, we survey the state of the art in provenance for scripts. We have identified the approaches by following an exhaustive protocol of forward and backward literature snowballing. Based on a detailed study, we propose a taxonomy and classify the approaches using this taxonomy.","João Felipe Pimentel, Juliana Freire, Leonardo Murta, Vanessa Braganholo",SemanticScholarPaperIDCrawler,
25,10.3389/past.2025.14081,"Across Northern Eurasia, reindeer have long shaped the socio-cultural fabric of hunter-fisher societies. Today, descendant communities continue multispecies lifeways, forming symbiotic relationships within boreal ecosystems. Reindeer, regarded as animate persons, exist as both herded and wild partners. While the dynamics of these communities have been widely studied, the smallest actors in this system—namely insects—have remained largely overlooked, particularly in discussions of reindeer domestication and archaeology. Expanding ontological perspectives and engaging with new narrative approaches open avenues for recognizing other animate beings as co-constructors of social, economic, and cultural systems. Traditional hunter-herding practices in the West Siberian and Northwest Mongolian taigas offer insights into early human-reindeer cooperation, domestication, and their archaeological traces. This study employs a collaborative, multidisciplinary approach to examine how synanthropic insects—such as mosquitoes, midges, and horseflies—shape hunter-herder lifeways, despite their absence from the archaeological record. Fieldwork with Sel’kup, Khanty, and Tsaatan communities highlights the critical role of insects in herding and mobility patterns, influencing niche construction strategies. These case studies reveal new multispecies parameters that will enhance interpretations of the archaeological record.","Morgan Windle, Stephan Dudeck, Tanja Schreiber, Hans Whitefield, Henny Piezonka",SemanticScholarPaperIDCrawler,
26,10.18653/v1/2020.emnlp-main.363,"bak probing, til beskrivelser av transformerarkitekturen og debatten rundt tolkbarhet av oppmerksomhet. I hvert introduksjonskapittel prver vi derfor kontekstualisere vrt eget arbeid.","Anne Lauscher, Vinit Ravishankar, Ivan Vulić, Goran Glavaš",SemanticScholarPaperIDCrawler,
